CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,CVE_SUN,NOM_SUN,POB_2018
15,México,15042,Ixtlahuaca,150420066,Ejido de la Concepción de los Baños Primero,C15.04,Los Baños,0
15,México,15074,San Felipe del Progreso,150740008,Calvario del Carmen,C15.06,San Nicolás Guadalupe,4128
15,México,15074,San Felipe del Progreso,150740037,Guadalupe Coté,C15.06,San Nicolás Guadalupe,0
15,México,15074,San Felipe del Progreso,150740097,San Miguel la Labor,C15.06,San Nicolás Guadalupe,6080
15,México,15074,San Felipe del Progreso,150740098,San Nicolás Guadalupe,C15.06,San Nicolás Guadalupe,6290
15,México,15074,San Felipe del Progreso,150740281,Barrio el Rincón Santa Ana Nichi Ejido,C15.06,San Nicolás Guadalupe,0
15,México,15074,San Felipe del Progreso,150740290,"Barrio las Palomas, San Miguel la Labor",C15.06,San Nicolás Guadalupe,0
15,México,15082,Tejupilco,150820001,Tejupilco de Hidalgo,C15.07,Tejupilco de Hidalgo,31246
15,México,15082,Tejupilco,150820138,Rincón de Aguirre,C15.07,Tejupilco de Hidalgo,0
15,México,15082,Tejupilco,150820147,Rincón de Ugarte,C15.07,Tejupilco de Hidalgo,0
15,México,15082,Tejupilco,150820176,Santo Domingo-Zacatepec,C15.07,Tejupilco de Hidalgo,4413
15,México,15082,Tejupilco,150820206,Rincón de Jaimes,C15.07,Tejupilco de Hidalgo,0
15,México,15082,Tejupilco,150820540,El Capire (Colonia el Capire),C15.07,Tejupilco de Hidalgo,0
15,México,15082,Tejupilco,150820543,Juntas de Zacatepec (El Pedregal Segunda Manzana),C15.07,Tejupilco de Hidalgo,0
15,México,15082,Tejupilco,150820564,Colonia Buenavista Primera Sección,C15.07,Tejupilco de Hidalgo,0
15,México,15085,Temascalcingo,150850001,Temascalcingo de José María Velasco,C15.08,Temascalcingo de José María Velasco,14807
15,México,15085,Temascalcingo,150850014,La Magdalena,C15.08,Temascalcingo de José María Velasco,5999
15,México,15085,Temascalcingo,150850020,Puruahua,C15.08,Temascalcingo de José María Velasco,0
15,México,15088,Tenancingo,150880001,Tenancingo de Degollado,C15.09,Tenancingo de Degollado,11973
15,México,15088,Tenancingo,150880006,Chalchihuapan,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880010,Ejido de Tenería (El Llano),C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880015,Pueblo Nuevo,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880017,El Salitre,C15.09,Tenancingo de Degollado,4880
15,México,15088,Tenancingo,150880020,San Juan Tetitlán,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880024,Santa Ana Ixtlahuatzingo (Santa Ana),C15.09,Tenancingo de Degollado,9385
15,México,15088,Tenancingo,150880034,La Trinidad,C15.09,Tenancingo de Degollado,4115
15,México,15088,Tenancingo,150880037,Rinconada de Santa Teresa,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880039,Rinconada de Atotonilco,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880043,Colonia Emiliano Zapata Ejido de Tenancingo,C15.09,Tenancingo de Degollado,3639
15,México,15088,Tenancingo,150880051,Tierra Blanca,C15.09,Tenancingo de Degollado,1812
15,México,15088,Tenancingo,150880060,Colonia San Ramón,C15.09,Tenancingo de Degollado,3348
15,México,15088,Tenancingo,150880067,La Ocotalera,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880068,Barrio Santa Teresa,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880071,La Ciénega,C15.09,Tenancingo de Degollado,3057
15,México,15088,Tenancingo,150880073,San José el Cuartel,C15.09,Tenancingo de Degollado,5214
15,México,15110,Valle de Bravo,151100001,Valle de Bravo,C15.10,Valle de Bravo,30873
15,México,15110,Valle de Bravo,151100055,Casas Viejas,C15.10,Valle de Bravo,0
15,México,15110,Valle de Bravo,151100098,Barrio de Guadalupe,C15.10,Valle de Bravo,0
16,Michoacán de Ocampo,16006,Apatzingán,160060001,Apatzingán de la Constitución,P16.01,Apatzingán de la Constitución,102668
16,Michoacán de Ocampo,16009,Ario,160090001,Ario de Rosales,P16.02,Ario de Rosales,17048
16,Michoacán de Ocampo,16011,Briseñas,160110001,Briseñas de Matamoros,C14.01,La Barca-Briseñas,4320
16,Michoacán de Ocampo,16011,Briseñas,160110004,Paso de Hidalgo (Paso de -lamos),C14.01,La Barca-Briseñas,3950
16,Michoacán de Ocampo,16024,Cherán,160240001,Cherán,P16.03,Cherán,16026
16,Michoacán de Ocampo,16034,Hidalgo,160340001,Ciudad Hidalgo,C16.01,Ciudad Hidalgo,60139
16,Michoacán de Ocampo,16034,Hidalgo,160340066,Llano del Ejido (El Mirador),C16.01,Ciudad Hidalgo,0
16,Michoacán de Ocampo,16034,Hidalgo,160340477,Antorcha Campesina [Colonia],C16.01,Ciudad Hidalgo,2239
16,Michoacán de Ocampo,16038,Huetamo,160380001,Huetamo de Núñez,P16.04,Huetamo de Núñez,22009
16,Michoacán de Ocampo,16045,Jiquilpan,160450001,Jiquilpan de Juárez,C16.02,Jiquilpan de Juárez,23722
16,Michoacán de Ocampo,16045,Jiquilpan,160450051,Niños Héroes,C16.06,Sahuayo de Morelos,0
16,Michoacán de Ocampo,16050,Maravatío,160500001,Maravatío de Ocampo,P16.05,Maravatío de Ocampo,33682
16,Michoacán de Ocampo,16052,Lázaro Cárdenas,160520001,Ciudad Lázaro Cárdenas,C16.03,Ciudad Lázaro Cárdenas,80444
16,Michoacán de Ocampo,16052,Lázaro Cárdenas,160520077,Las Guacamayas,C16.03,Ciudad Lázaro Cárdenas,40752
16,Michoacán de Ocampo,16052,Lázaro Cárdenas,160520127,La Mira,P16.06,La Mira,17391
16,Michoacán de Ocampo,16055,Múgica,160550001,Nueva Italia de Ruiz,P16.07,Nueva Italia de Ruíz,36527
16,Michoacán de Ocampo,16058,Nuevo Parangaricutiro,160580001,Nuevo San Juan Parangaricutiro,P16.08,Nuevo San Juan Parangaricutiro,16218
16,Michoacán de Ocampo,16065,Paracho,160650001,Paracho de Verduzco,P16.09,Paracho de Verduzco,21485
16,Michoacán de Ocampo,16066,Pátzcuaro,160660001,Pátzcuaro,C16.04,Pátzcuaro,57502
16,Michoacán de Ocampo,16066,Pátzcuaro,160660061,Joya de los Molinos,C16.04,Pátzcuaro,0
16,Michoacán de Ocampo,16066,Pátzcuaro,160660099,Fraccionamiento el Mirador,C16.04,Pátzcuaro,0
16,Michoacán de Ocampo,16068,Peribán,160680001,Peribán de Ramos,P16.10,Peribán de Ramos,15856
16,Michoacán de Ocampo,16071,Puruándiro,160710001,Puruándiro,P16.11,Puruándiro,29895
16,Michoacán de Ocampo,16073,Quiroga,160730001,Quiroga,P16.12,Quiroga,15309
16,Michoacán de Ocampo,16075,Los Reyes,160750001,Los Reyes de Salgado,C16.05,Los Reyes de Salgado,43564
16,Michoacán de Ocampo,16075,Los Reyes,160750024,San Sebastián,C16.05,Los Reyes de Salgado,2899
16,Michoacán de Ocampo,16076,Sahuayo,160760001,Sahuayo de Morelos,C16.06,Sahuayo de Morelos,70078
16,Michoacán de Ocampo,16076,Sahuayo,160760033,Colonia Independencia (Coyacho),C16.02,Jiquilpan de Juárez,0
16,Michoacán de Ocampo,16076,Sahuayo,160760050,18 de Marzo [Fraccionamiento],C16.02,Jiquilpan de Juárez,0
16,Michoacán de Ocampo,16077,San Lucas,160770067,Vicente Riva Palacio,C12.03,Ciudad Altamirano-Riva Palacio,5035
16,Michoacán de Ocampo,16082,Tacámbaro,160820001,Tacámbaro de Codallos,P16.13,Tacámbaro de Codallos,27068
16,Michoacán de Ocampo,16085,Tangancícuaro,160850001,Tangancícuaro de Arista,P16.14,Tangancícuaro de Arista,14228
16,Michoacán de Ocampo,16089,Tepalcatepec,160890001,Tepalcatepec,P16.15,Tepalcatepec,15689
16,Michoacán de Ocampo,16102,Uruapan,161020001,Uruapan,C16.07,Uruapan,285179
16,Michoacán de Ocampo,16102,Uruapan,161020061,Caltzontzin,C16.07,Uruapan,5814
16,Michoacán de Ocampo,16102,Uruapan,161020081,Jicalán (La Pinerita),C16.07,Uruapan,0
16,Michoacán de Ocampo,16102,Uruapan,161020110,Santa Rosa (Santa Bárbara),C16.07,Uruapan,5372
16,Michoacán de Ocampo,16102,Uruapan,161020119,Toreo Bajo (El Toreo Bajo),C16.07,Uruapan,5401
16,Michoacán de Ocampo,16102,Uruapan,161020451,Lomas del Rey [Fraccionamiento],C16.07,Uruapan,0
16,Michoacán de Ocampo,16106,Yurécuaro,161060001,Yurécuaro,C16.08,Yurécuaro-La Ribera,26679
16,Michoacán de Ocampo,16107,Zacapu,161070001,Zacapu,P16.16,Zacapu,52919
16,Michoacán de Ocampo,16110,Zinapécuaro,161100001,Zinapécuaro de Figueroa,C16.09,Zinapécuaro de Figueroa,17272
16,Michoacán de Ocampo,16110,Zinapécuaro,161100006,Bocaneo (San Pedro),C16.09,Zinapécuaro de Figueroa,0
16,Michoacán de Ocampo,16112,Zitácuaro,161120001,Heróica Zitácuaro,C16.10,Zitácuaro,82372
16,Michoacán de Ocampo,16112,Zitácuaro,161120082,Rincón de Nicolás Romero (Cedros Tercera Manzana),C16.10,Zitácuaro,8022
16,Michoacán de Ocampo,16112,Zitácuaro,161120132,La Loma (Tercera Manzana de San Miguel),C16.10,Zitácuaro,0
17,Morelos,17003,Axochiapan,170030001,Axochiapan,C17.01,Axochiapan,18656
17,Morelos,17003,Axochiapan,170030021,Colonia los Laureles,C17.01,Axochiapan,0
17,Morelos,17012,Jojutla,170120001,Jojutla,C17.03,Jojutla-Tlaquiltenango,17321
17,Morelos,17017,Puente de Ixtla,170170001,Puente de Ixtla,P17.01,Puente de Ixtla,20314
17,Morelos,17017,Puente de Ixtla,170170009,Xoxocotla,C17.02,Xoxocotla,23521
17,Morelos,17017,Puente de Ixtla,170170069,Los Guajes,C17.02,Xoxocotla,0
17,Morelos,17025,Tlaquiltenango,170250001,Tlaquiltenango,C17.03,Jojutla-Tlaquiltenango,19058
17,Morelos,17025,Tlaquiltenango,170250023,Alfredo V. Bonfil (Chacampalco),C17.03,Jojutla-Tlaquiltenango,0
17,Morelos,17025,Tlaquiltenango,170250025,Colonia 3 de Mayo (El Tepiolol),C17.03,Jojutla-Tlaquiltenango,0
17,Morelos,17025,Tlaquiltenango,170250082,Ampliación Gabriel Tepepa,C17.03,Jojutla-Tlaquiltenango,0
17,Morelos,17031,Zacatepec,170310001,Zacatepec de Hidalgo,C17.04,Zacatepec de Hidalgo,21493
17,Morelos,17031,Zacatepec,170310036,Colonia Plan de Ayala,C17.04,Zacatepec de Hidalgo,0
18,Nayarit,18001,Acaponeta,180010001,Acaponeta,C18.01,Acaponeta,21379
18,Nayarit,18001,Acaponeta,180010021,El Centenario,C18.01,Acaponeta,0
18,Nayarit,18004,Compostela,180040001,Compostela,P18.01,Compostela,19681
18,Nayarit,18004,Compostela,180040128,La Peñita de Jaltemba,C18.02,La Peñita de Jaltemba,13156
18,Nayarit,18004,Compostela,180040186,Las Varas,P18.02,Las Varas,16601
18,Nayarit,18004,Compostela,180040322,Paraíso Escondido [Colonia],C18.02,La Peñita de Jaltemba,3135
18,Nayarit,18006,Ixtlán del Río,180060001,Ixtlán del Río,P18.03,Ixtlán del Río,26582
18,Nayarit,18010,Rosamorada,180100035,San Vicente,C18.03,Tuxpan,5251
18,Nayarit,18011,Ruíz,180110001,Ruíz,P18.04,Ruíz,16039
18,Nayarit,18015,Santiago Ixcuintla,180150001,Santiago Ixcuintla,P18.05,Santiago Ixcuintla,20227
18,Nayarit,18016,Tecuala,180160001,Tecuala,P18.06,Tecuala,16809
18,Nayarit,18018,Tuxpan,180180001,Tuxpan,C18.03,Tuxpan,24476
19,Nuevo León,19004,Allende,190040001,Ciudad de Allende,P19.01,Ciudad de Allende,29028
19,Nuevo León,19005,Anáhuac,190050001,Anáhuac,P19.02,Anáhuac,17096
19,Nuevo León,19033,Linares,190330001,Linares,P19.03,Linares,72342
19,Nuevo León,19038,Montemorelos,190380001,Montemorelos,P19.04,Montemorelos,52058
19,Nuevo León,19044,Sabinas Hidalgo,190440001,Ciudad Sabinas Hidalgo,P19.05,Ciudad Sabinas Hidalgo,36104
20,Oaxaca,20006,Asunción Nochixtlán,200060001,Asunción Nochixtlán,P20.01,Asunción Nochixtlán,15464
20,Oaxaca,20014,Ciudad Ixtepec,200140001,Ciudad Ixtepec,C20.01,Ciudad Ixtepec,26851
20,Oaxaca,20014,Ciudad Ixtepec,200140046,Colonia Niza Luba,C20.01,Ciudad Ixtepec,0
20,Oaxaca,20039,Heroica Ciudad de Huajuapan de León,200390001,Heroica Ciudad de Huajuapan de León,P20.02,Huajuapan de León,58519
20,Oaxaca,20043,Heroica Ciudad de Juchitán de Zaragoza,200430001,Heroica Ciudad de Juchitán de Zaragoza,C20.02,Juchitán de Zaragoza,78319
20,Oaxaca,20043,Heroica Ciudad de Juchitán de Zaragoza,200430146,Colonia 19 de Marzo (Colonia San José),C20.02,Juchitán de Zaragoza,0
20,Oaxaca,20043,Heroica Ciudad de Juchitán de Zaragoza,200430148,Colonia de la Amistad,C20.02,Juchitán de Zaragoza,0
20,Oaxaca,20043,Heroica Ciudad de Juchitán de Zaragoza,200430150,Colonia José Yola,C20.02,Juchitán de Zaragoza,0
20,Oaxaca,20043,Heroica Ciudad de Juchitán de Zaragoza,200430151,Colonia Mariano Montero,C20.02,Juchitán de Zaragoza,0
20,Oaxaca,20043,Heroica Ciudad de Juchitán de Zaragoza,200430152,Colonia San Isidro,C20.02,Juchitán de Zaragoza,0
20,Oaxaca,20043,Heroica Ciudad de Juchitán de Zaragoza,200430153,Colonia San Vicente,C20.02,Juchitán de Zaragoza,0
20,Oaxaca,20044,Loma Bonita,200440001,Loma Bonita,P20.03,Loma Bonita,31704
20,Oaxaca,20057,Matías Romero Avendaño,200570001,Matías Romero Avendaño,C20.03,Matías Romero Avendaño,18332
20,Oaxaca,20059,Miahuatlán de Porfirio Díaz,200590001,Miahuatlán de Porfirio Díaz,P20.04,Miahuatlán de Porfirio Díaz,27269
20,Oaxaca,20068,Ocotlán de Morelos,200680001,Ocotlán de Morelos,C20.04,Ocotlán de Morelos,16193
20,Oaxaca,20103,San Antonino Castillo Velasco,201030001,San Antonino Castillo Velasco,C20.04,Ocotlán de Morelos,5970
20,Oaxaca,20150,San Francisco Telixtlahuaca,201500001,San Francisco Telixtlahuaca,C20.05,San Francisco Telixtlahuaca-San Pablo Huitzo,11539
20,Oaxaca,20184,San Juan Bautista Tuxtepec,201840001,San Juan Bautista Tuxtepec,C20.06,San Juan Bautista Tuxtepec,110430
20,Oaxaca,20184,San Juan Bautista Tuxtepec,201840050,San Bartolo,C20.06,San Juan Bautista Tuxtepec,3829
20,Oaxaca,20184,San Juan Bautista Tuxtepec,201840103,El Cañaveral,C20.06,San Juan Bautista Tuxtepec,0
20,Oaxaca,20184,San Juan Bautista Tuxtepec,201840140,Colonia Víctor Bravo Ahuja (Segunda Etapa),C20.06,San Juan Bautista Tuxtepec,0
20,Oaxaca,20184,San Juan Bautista Tuxtepec,201840301,Colonia Ortega,C20.06,San Juan Bautista Tuxtepec,0
20,Oaxaca,20184,San Juan Bautista Tuxtepec,201840344,San Francisco,C20.06,San Juan Bautista Tuxtepec,0
20,Oaxaca,20184,San Juan Bautista Tuxtepec,201840345,Vista Hermosa,C20.06,San Juan Bautista Tuxtepec,0
20,Oaxaca,20294,San Pablo Huitzo,202940001,San Pablo Huitzo,C20.05,San Francisco Telixtlahuaca-San Pablo Huitzo,5615
20,Oaxaca,20294,San Pablo Huitzo,202940002,Santa María Tenéxpam,C20.05,San Francisco Telixtlahuaca-San Pablo Huitzo,0
20,Oaxaca,20318,San Pedro Mixtepec,203180009,Puerto Escondido,C20.07,Puerto Escondido-Zicatela,31042
20,Oaxaca,20397,Heroica Ciudad de Tlaxiaco,203970001,Heroica Ciudad de Tlaxiaco,C20.08,Tlaxiaco,16567
20,Oaxaca,20397,Heroica Ciudad de Tlaxiaco,203970023,San Pedro,C20.08,Tlaxiaco,0
20,Oaxaca,20397,Heroica Ciudad de Tlaxiaco,203970107,Jardines del Pedregal,C20.08,Tlaxiaco,0
20,Oaxaca,20401,Santa María Colotepec,204010050,Brisas de Zicatela,C20.07,Puerto Escondido-Zicatela,10510
20,Oaxaca,20401,Santa María Colotepec,204010086,Colonia Libertad,C20.07,Puerto Escondido-Zicatela,0
20,Oaxaca,20413,Santa María Huatulco,204130078,Crucecita,C20.09,Crucecita,17086
20,Oaxaca,20413,Santa María Huatulco,204130132,Sector U-Dos Norte,C20.09,Crucecita,0
20,Oaxaca,20413,Santa María Huatulco,204130135,Sector H Tres,C20.09,Crucecita,3327
20,Oaxaca,20413,Santa María Huatulco,204130136,Sector U-Dos Sur,C20.09,Crucecita,0
20,Oaxaca,20427,Santa María Petapa,204270010,Rincón Viejo,C20.03,Matías Romero Avendaño,0
20,Oaxaca,20427,Santa María Petapa,204270025,El Bajío,C20.03,Matías Romero Avendaño,0
20,Oaxaca,20427,Santa María Petapa,204270027,Hidalgo Norte,C20.03,Matías Romero Avendaño,0
20,Oaxaca,20427,Santa María Petapa,204270028,Hidalgo Sur,C20.03,Matías Romero Avendaño,0
20,Oaxaca,20427,Santa María Petapa,204270029,Lázaro Cárdenas,C20.03,Matías Romero Avendaño,0
20,Oaxaca,20482,Santiago Pinotepa Nacional,204820001,Santiago Pinotepa Nacional,P20.05,Santiago Pinotepa Nacional,33223
21,Puebla,21003,Acatlán,210030001,Acatlán de Osorio,P21.01,Acatlán de Osorio,17921
21,Puebla,21004,Acatzingo,210040001,Acatzingo de Hidalgo,C21.01,Acatzingo de Hidalgo,27213
21,Puebla,21004,Acatzingo,210040002,Actipan de Morelos (Santa María Actipan),C21.01,Acatzingo de Hidalgo,7831
21,Puebla,21004,Acatzingo,210040054,Apipilolco (Los -lamos),C21.01,Acatzingo de Hidalgo,0
21,Puebla,21010,Ajalpan,210100001,Ciudad de Ajalpan,C21.02,Ciudad de Ajalpan,31692
21,Puebla,21010,Ajalpan,210100093,Las Palmas (San Miguel),C21.02,Ciudad de Ajalpan,0
21,Puebla,21013,Altepexi,210130001,Altepexi,C21.02,Ciudad de Ajalpan,20437
21,Puebla,21017,Atempan,210170001,Atempan,C21.03,Atempan,7529
21,Puebla,21019,Atlixco,210190001,Atlixco,C21.04,Atlixco,87469
21,Puebla,21019,Atlixco,210190197,San Francisco Primo de Verdad,C21.04,Atlixco,0
21,Puebla,21019,Atlixco,210190216,El León,C21.04,Atlixco,0
21,Puebla,21038,Cuapiaxtla de Madero,210380001,Cuapiaxtla de Madero,C21.01,Acatzingo de Hidalgo,8447
21,Puebla,21045,Chalchicomula de Sesma,210450001,Ciudad Serdán,P21.02,Ciudad Serdán,26276
21,Puebla,21051,Chietla,210510001,Chietla,C21.05,Atencingo-Chietla,6056
21,Puebla,21051,Chietla,210510003,Atencingo,C21.05,Atencingo-Chietla,10575
21,Puebla,21053,Chignahuapan,210530001,Ciudad de Chignahuapan,C21.06,Ciudad de Chignahuapan,23232
21,Puebla,21053,Chignahuapan,210530092,Ixtlahuaca Barrio,C21.06,Ciudad de Chignahuapan,3220
21,Puebla,21071,Huauchinango,210710001,Huauchinango,C21.07,Huauchinango,62683
21,Puebla,21071,Huauchinango,210710008,Las Colonias de Hidalgo,C21.08,Nuevo Necaxa-Tenango,3786
21,Puebla,21071,Huauchinango,210710009,Cuacuila,C21.07,Huauchinango,3328
21,Puebla,21071,Huauchinango,210710027,Tenango de las Flores,C21.08,Nuevo Necaxa-Tenango,7872
21,Puebla,21071,Huauchinango,210710061,Colonia PEMEX (Hueyatlagco),C21.08,Nuevo Necaxa-Tenango,0
21,Puebla,21085,Izúcar de Matamoros,210850001,Izúcar de Matamoros,P21.03,Izúcar de Matamoros,46510
21,Puebla,21091,Juan Galindo,210910001,Nuevo Necaxa,C21.08,Nuevo Necaxa-Tenango,8982
21,Puebla,21091,Juan Galindo,210910014,Cuautlita (El Gamito),C21.08,Nuevo Necaxa-Tenango,0
21,Puebla,21094,Libres,210940001,Ciudad de Libres,P21.04,Ciudad de Libres,16971
21,Puebla,21104,Nopalucan,211040001,Nopalucan de la Granja,C21.10,Nopalucan de la Granja-Ciudad de Rafael Lara Grajales,7782
21,Puebla,21104,Nopalucan,211040006,Juan de la Granja,C21.10,Nopalucan de la Granja-Ciudad de Rafael Lara Grajales,0
21,Puebla,21104,Nopalucan,211040053,Colonia Obrera,C21.10,Nopalucan de la Granja-Ciudad de Rafael Lara Grajales,0
21,Puebla,21104,Nopalucan,211040057,La Joya,C21.10,Nopalucan de la Granja-Ciudad de Rafael Lara Grajales,0
21,Puebla,21104,Nopalucan,211040061,Moctezuma,C21.10,Nopalucan de la Granja-Ciudad de Rafael Lara Grajales,0
21,Puebla,21110,Palmar de Bravo,211100011,Jesús Nazareno,C21.09,Palmarito Tochapan,3266
21,Puebla,21110,Palmar de Bravo,211100023,San Miguel Xaltepec,C21.09,Palmarito Tochapan,9956
21,Puebla,21115,Quecholac,211150009,Palmarito Tochapan,C21.09,Palmarito Tochapan,18628
21,Puebla,21115,Quecholac,211150018,San José Tuzuapan,C21.09,Palmarito Tochapan,3012
21,Puebla,21117,Rafael Lara Grajales,211170001,Ciudad de Rafael Lara Grajales,C21.10,Nopalucan de la Granja-Ciudad de Rafael Lara Grajales,10895
21,Puebla,21118,Los Reyes de Juárez,211180001,Los Reyes de Juárez,C21.01,Acatzingo de Hidalgo,17190
21,Puebla,21118,Los Reyes de Juárez,211180003,Buenavista de Juárez,C21.01,Acatzingo de Hidalgo,2398
21,Puebla,21118,Los Reyes de Juárez,211180007,Santiago Acozac,C21.01,Acatzingo de Hidalgo,3294
21,Puebla,21118,Los Reyes de Juárez,211180015,San Juan Acozac,C21.01,Acatzingo de Hidalgo,0
21,Puebla,21142,San Salvador el Seco,211420001,San Salvador el Seco,P21.05,San Salvador el Seco,18975
21,Puebla,21154,Tecamachalco,211540001,Tecamachalco,C21.11,Tecamachalco,32249
21,Puebla,21154,Tecamachalco,211540021,San Mateo Tlaixpan,C21.11,Tecamachalco,11767
21,Puebla,21164,Tepeaca,211640001,Tepeaca,C21.12,Tepeaca,29964
21,Puebla,21164,Tepeaca,211640020,San Pablo Actipan,C21.12,Tepeaca,4212
21,Puebla,21173,Teteles de Avila Castillo,211730001,Teteles de Avila Castillo,C21.03,Atempan,4978
21,Puebla,21175,Tianguismanalco,211750017,La Villa Tercera Sección,C21.04,Atlixco,0
21,Puebla,21183,Tlaola,211830022,Xaltepuxtla,C21.08,Nuevo Necaxa-Tenango,4323
21,Puebla,21197,Xicotepec,211970001,Xicotepec de Juárez,C21.13,Xicotepec de Juárez,44363
21,Puebla,21197,Xicotepec,211970018,San Isidro,C21.13,Xicotepec de Juárez,0
21,Puebla,21197,Xicotepec,211970098,Lomas Verdes,C21.13,Xicotepec de Juárez,0
21,Puebla,21199,Xiutetelco,211990001,San Juan Xiutetelco,C30.08,Jalacingo-San Juan Xiutetelco,8504
21,Puebla,21199,Xiutetelco,211990008,San Andrés,C30.08,Jalacingo-San Juan Xiutetelco,2610
21,Puebla,21199,Xiutetelco,211990009,San Francisco,C30.08,Jalacingo-San Juan Xiutetelco,3364
21,Puebla,21199,Xiutetelco,211990016,Xaltipan,C30.08,Jalacingo-San Juan Xiutetelco,5490
21,Puebla,21199,Xiutetelco,211990027,San Martín,C30.08,Jalacingo-San Juan Xiutetelco,2031
21,Puebla,21199,Xiutetelco,211990037,La Cantera,C30.08,Jalacingo-San Juan Xiutetelco,0
21,Puebla,21199,Xiutetelco,211990046,La Ciénega,C30.08,Jalacingo-San Juan Xiutetelco,0
21,Puebla,21199,Xiutetelco,211990048,Sección Segunda Xiutetelco,C30.08,Jalacingo-San Juan Xiutetelco,0
21,Puebla,21199,Xiutetelco,211990051,Xaltipan (Sección Décima),C30.08,Jalacingo-San Juan Xiutetelco,0
21,Puebla,21204,Yaonáhuac,212040001,Yaonáhuac,C21.03,Atempan,5024
21,Puebla,21204,Yaonáhuac,212040013,Atemeya,C21.03,Atempan,0
21,Puebla,21207,Zacapoaxtla,212070001,Zacapoaxtla,C21.14,Zacapoaxtla,7782
21,Puebla,21207,Zacapoaxtla,212070005,Comaltepec,C21.14,Zacapoaxtla,3552
21,Puebla,21207,Zacapoaxtla,212070021,Xalacapan,C21.14,Zacapoaxtla,4746
21,Puebla,21207,Zacapoaxtla,212070034,Los Cristales (Talican),C21.14,Zacapoaxtla,2359
21,Puebla,21207,Zacapoaxtla,212070043,San Carlos,C21.14,Zacapoaxtla,0
21,Puebla,21208,Zacatlán,212080001,Zacatlán,C21.15,Zacatlán,37603
21,Puebla,21208,Zacatlán,212080004,Atzingo (La Cumbre),C21.15,Zacatlán,3736
21,Puebla,21208,Zacatlán,212080015,Jicolapa,C21.15,Zacatlán,4638
21,Puebla,21214,Zinacatepec,212140001,San Sebastián Zinacatepec,P21.06,San Sebastián Zinacatepec,17284
22,Querétaro,22016,San Juan del Río,220160001,San Juan del Río,C22.01,San Juan del Río,157552
22,Querétaro,22016,San Juan del Río,220160007,Casa Blanca,C22.01,San Juan del Río,0
22,Querétaro,22017,Tequisquiapan,220170001,Tequisquiapan,C22.02,Tequisquiapan,32623
22,Querétaro,22017,Tequisquiapan,220170107,Ramas Blancas,C22.02,Tequisquiapan,0
22,Querétaro,22017,Tequisquiapan,220170146,Familia Jiménez (Colonia Santa Fe),C22.02,Tequisquiapan,0
22,Querétaro,22017,Tequisquiapan,220170203,Nahui Ollin [Fraccionamiento],C22.02,Tequisquiapan,0
23,Quintana Roo,23001,Cozumel,230010001,Cozumel,P23.01,Cozumel,94388
23,Quintana Roo,23002,Felipe Carrillo Puerto,230020001,Felipe Carrillo Puerto,P23.02,Felipe Carrillo Puerto,34148
23,Quintana Roo,23008,Solidaridad,230080001,Playa del Carmen,P23.03,Playa del Carmen,214734
23,Quintana Roo,23009,Tulum,230090001,Tulum,P23.04,Tulum,22247
24,San Luis Potosí,24005,Cárdenas,240050001,Cárdenas,P24.01,Cárdenas,16722
24,San Luis Potosí,24008,Cerritos,240080001,Cerritos,P24.02,Cerritos,16308
24,San Luis Potosí,24013,Ciudad Valles,240130001,Ciudad Valles,P24.03,Ciudad Valles,135938
24,San Luis Potosí,24016,Ébano,240160001,Ébano,P24.04,Ébano,26646
24,San Luis Potosí,24020,Matehuala,240200001,Matehuala,P24.05,Matehuala,85500
24,San Luis Potosí,24025,Salinas,240250001,Salinas de Hidalgo,P24.06,Salinas de Hidalgo,19047
24,San Luis Potosí,24037,Tamazunchale,240370001,Tamazunchale,C24.01,Tamazunchale,30123
24,San Luis Potosí,24037,Tamazunchale,240370139,El Piñal,C24.01,Tamazunchale,0
24,San Luis Potosí,24037,Tamazunchale,240370370,Los Tamarindos,C24.01,Tamazunchale,0
24,San Luis Potosí,24040,Tamuín,240400001,Tamuín,P24.07,Tamuín,18111
25,Sinaloa,25001,Ahome,250010001,Los Mochis,C25.01,Los Mochis,294684
25,Sinaloa,25001,Ahome,250010088,Benito Juárez,C25.01,Los Mochis,0
25,Sinaloa,25001,Ahome,250010136,El Estero (Juan José Ríos),C25.03,Juan José Ríos,4454
25,Sinaloa,25001,Ahome,250010189,Ejido 9 de Diciembre,C25.01,Los Mochis,0
25,Sinaloa,25001,Ahome,250010197,Plan de Ayala [Campo Cinco],C25.01,Los Mochis,0
25,Sinaloa,25008,Elota,250080001,La Cruz,P25.01,La Cruz,18929
25,Sinaloa,25009,Escuinapa,250090001,Escuinapa de Hidalgo,P25.02,Escuinapa de Hidalgo,32813
